,Person,Person~3130,"Burks, Rosella ",BurksR@univ.edu,3130,963.555.1253,,,Rosella,Burks
,ID,3130,,,,,,,,
,Person,Person~3297,"Avila, Damien ",AvilaD@univ.edu,3297,963.555.1352,,,Damien,Avila
,ID,3297,,,,,,,,
,Person,Person~3547,"Olsen, Robin ",OlsenR@univ.edu,3547,963.555.1378,,,Robin,Olsen
,ID,3547,,,,,,,,
,Person,Person~1538,"Moises, Edgar Estes",MoisesE@univ.edu,1538,963.555.2731x3565,,,Edgar,Moises
,ID,1538,,,,,,,,
,Person,Person~2941,"Brian, Heath Pruitt",BrianH@univ.edu,2941,963.555.2800,,,Heath,Brian
,ID,2941,,,,,,,,
,Person,Person~2401,"Claude, Elvin Haney",ClaudeE@univ.edu,2401,963.555.2902,,,Elvin,Claude
,ID,2401,,,,,,,,
,Person,Person~2070,"Mosley, Edmund ",MosleyE@univ.edu,2070,963.555.2945,,,Edmund,Mosley
,ID,2070,,,,,,,,
,Person,Person~2561,"Derek, Antoine Mccoy",DerekA@univ.edu,2561,963.555.2992,,,Antoine,Derek
,ID,2561,,,,,,,,
,Person,Person~1625,"Hawkins, Callie ",HawkinsC@univ.edu,1625,963.555.3350x6480,,,Callie,Hawkins
,ID,1625,,,,,,,,
,Person,Person~1307,"Pate, Andrea ",PateA@univ.edu,1307,963.555.3723,,,Andrea,Pate
,ID,1307,,,,,,,,
,Person,Person~2342,"Austin, Liz ",AustinL@univ.edu,2342,963.555.4305,,,Liz,Austin
,ID,2342,,,,,,,,
,Person,Person~2755,"Kendrick, Reba Alford",KendrickR@univ.edu,2755,963.555.4618x7744,,,Reba,Kendrick
,ID,2755,,,,,,,,
,Person,Person~4150,"Sims, Angelina ",SimsA@univ.edu,4150,963.555.5278,,,Angelina,Sims
,ID,4150,,,,,,,,
,Person,Person~3544,"Mullins, Kimberly ",MullinsK@univ.edu,3544,963.555.5471x1017,,,Kimberly,Mullins
,ID,3544,,,,,,,,
,Person,Person~2096,"Chuck, Lloyd Haney",ChuckL@univ.edu,2096,963.555.5568x2652,,,Lloyd,Chuck
,ID,2096,,,,,,,,
,Person,Person~1089,"Payne, Ladonna ",PayneL@univ.edu,1089,963.555.5639,,,Ladonna,Payne
,ID,1089,,,,,,,,
,Person,Person~2948,"Baxter, Johnathan Browning",BaxterJ@univ.edu,2948,963.555.5902,,,Johnathan,Baxter
,ID,2948,,,,,,,,
,Person,Person~4539,"Weiss, Gilbert ",WeissG@univ.edu,4539,963.555.5969,,,Gilbert,Weiss
,ID,4539,,,,,,,,
,Person,Person~2811,"Deirdre, Florence Barrera",DeirdreF@univ.edu,2811,963.555.6319,,,Florence,Deirdre
,ID,2811,,,,,,,,
,Person,Person~4580,"Fernando, Toby Calderon",FernandoT@univ.edu,4580,963.555.6469,,,Toby,Fernando
,ID,4580,,,,,,,,
